,timestamp,device,seqnumber,event,temperature1,temperature2,bmetemp,bmehum,bmepress,adc1,adc2,adc3,battery,devicetypeid,data,time,__dt,date
908,2022-07-14T15:07:02+01:00,1B29859,4028,1,51,30,34,23,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0197828617560101011b,1657804022,2022-07-14 00:00:00.000,2022-07-14 15:07:02+01:00
921,2022-07-14T15:22:30+01:00,1B29859,4029,1,49,30,36,19,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0195828813560101011b,1657804950,2022-07-14 00:00:00.000,2022-07-14 15:22:30+01:00
872,2022-07-14T15:37:48+01:00,1B29859,4030,1,47,29,33,22,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0193818516560101011b,1657805868,2022-07-14 00:00:00.000,2022-07-14 15:37:48+01:00
326,2022-07-14T15:53:10+01:00,1B29859,4031,1,45,28,31,24,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0191808318560101011b,1657806790,2022-07-14 00:00:00.000,2022-07-14 15:53:10+01:00
779,2022-07-14T16:08:33+01:00,1B29859,4032,1,44,30,35,21,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0190828715560101011b,1657807713,2022-07-14 00:00:00.000,2022-07-14 16:08:33+01:00
923,2022-07-14T16:23:56+01:00,1B29859,4033,1,44,30,37,18,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0190828912560101011b,1657808636,2022-07-14 00:00:00.000,2022-07-14 16:23:56+01:00
861,2022-07-14T16:39:21+01:00,1B29859,4034,1,45,30,36,19,986,1,1,1,27,5eb93b15c563d67b6b9800d7,0191828813560101011b,1657809561,2022-07-14 00:00:00.000,2022-07-14 16:39:21+01:00
590,2022-07-14T16:54:43+01:00,1B29859,4035,1,42,28,30,27,987,1,1,1,27,5eb93b15c563d67b6b9800d7,018e80821b570101011b,1657810483,2022-07-14 00:00:00.000,2022-07-14 16:54:43+01:00
666,2022-07-14T17:10:04+01:00,1B29859,4036,1,40,27,29,29,987,1,1,1,27,5eb93b15c563d67b6b9800d7,018c7f811d570101011b,1657811404,2022-07-14 00:00:00.000,2022-07-14 17:10:04+01:00
197,2022-07-14T17:25:27+01:00,1B29859,4037,1,38,28,29,28,987,1,1,1,27,5eb93b15c563d67b6b9800d7,018a80811c570101011b,1657812327,2022-07-14 00:00:00.000,2022-07-14 17:25:27+01:00
114,2022-07-14T17:40:50+01:00,1B29859,4038,1,36,27,27,29,986,1,1,1,27,5eb93b15c563d67b6b9800d7,01887f7f1d560101011b,1657813250,2022-07-14 00:00:00.000,2022-07-14 17:40:50+01:00
432,2022-07-14T17:56:13+01:00,1B29859,4039,1,34,27,27,30,986,1,1,1,27,5eb93b15c563d67b6b9800d7,01867f7f1e560101011b,1657814173,2022-07-14 00:00:00.000,2022-07-14 17:56:13+01:00
799,2022-07-14T18:11:36+01:00,1B29859,4040,1,33,27,27,29,986,1,1,1,27,5eb93b15c563d67b6b9800d7,01857f7f1d560101011b,1657815096,2022-07-14 00:00:00.000,2022-07-14 18:11:36+01:00
134,2022-07-14T18:26:58+01:00,1B29859,4041,1,32,27,26,30,986,1,1,1,27,5eb93b15c563d67b6b9800d7,01847f7e1e560101011b,1657816018,2022-07-14 00:00:00.000,2022-07-14 18:26:58+01:00
